Virtual folder,What it contains,Where it is used
history/v2/aqilevels/hourly/data/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/manifest.json,"Pollutant partition manifest for v2 hourly AQI data. Includes row counts, file_count, referenced parquet file list, timeseries ranges, timestamp ranges, hashes/ETags, and backup metadata.","Used by backup, integrity, index generation, and diagnostics to prove which AQI files exist and whether the partition is complete."
history/v2/aqilevels/hourly/data/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/part-xxxxx.parquet,"Actual hourly AQI rows for the partition, including DAQI/EAQI levels and calculation statuses.","Read by AQI history APIs, station snapshots, website charts, DuckDB diagnostics, and integrity checks."
history/_index_v2/,"Derived v2 index objects, separate from history/v2 data partitions. Includes the observation and AQI per-day/per-connector/per-pollutant file-range index trees, plus the per-timeseries metadata JSON tree.","Used by API/history readers to avoid scanning irrelevant day-partition parquet files and to resolve combined observation/AQI coverage for a timeseries. The Dropbox backup must mirror the latest index files, both file-range index trees, the per-timeseries metadata tree, and backup_inventory_v2.json."
history/_index_v2/observations_timeseries_latest.json,Latest descriptor/summary object for the v2 observation timeseries file-range index.,Used by readers and backup logic to find the current observation index coverage and detect changes.
history/_index_v2/aqilevels_hourly_data_timeseries_latest.json,Latest descriptor/summary object for the v2 hourly AQI data timeseries file-range index.,Used by AQI history readers and backup logic to find current AQI index coverage and detect changes.
history/_index_v2/observations_timeseries/,"Manifest-based file-range index tree for v2 observations, partitioned by day, connector, and pollutant.",Used to narrow observation parquet scans by timeseries_id/time range.
history/_index_v2/observations_timeseries/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/manifest.json,"Observation timeseries index manifest for one day, connector, and pollutant. Current layout points back to data parquet files via files[].key and includes index_kind=timeseries_file_ranges, index_coverage, indexed_file_count, source_row_count, min/max timeseries_id, min/max observed_at_utc, and file ranges.",API/history readers use this to decide which observation parquet file(s) may contain a requested timeseries. Diagnostics should treat the manifest itself as the index object.
history/_index_v2/aqilevels_hourly_data_timeseries/,"Manifest-based file-range index tree for v2 hourly AQI data, partitioned by day, connector, and pollutant.",Used to narrow AQI parquet scans by timeseries_id/time range.
history/_index_v2/aqilevels_hourly_data_timeseries/day_utc=YYYY-MM-DD/connector_id=N/pollutant_code=<pollutant>/manifest.json,"AQI timeseries index manifest for one day, connector, and pollutant. Current layout points back to data parquet files via files[].key and includes index_kind=timeseries_file_ranges, index_coverage, indexed_file_count, source_row_count, min/max timeseries_id, min/max timestamp_hour_utc, and file ranges.",API/history readers use this to decide which AQI parquet file(s) may contain a requested timeseries. Diagnostics should not expect separate parquet files inside the _index_v2 folder unless the layout changes.
history/_index_v2/timeseries/,Per-timeseries v2 metadata index tree. Contains one JSON object for each timeseries_id represented in the v2 observation and/or hourly AQI indexes.,Provides a direct combined coverage summary for a timeseries without scanning every day/connector/pollutant index manifest. Targeted index and Integrity repair logic merge affected observation or AQI entries into these objects while preserving unrelated historical coverage. This tree must be included in the Dropbox backup.
history/_index_v2/timeseries/timeseries_id=N.json,"Metadata for one v2 timeseries. Includes history_version=v2, index_kind=timeseries_metadata, connector and pollutant identity, observations_coverage, aqi_coverage, per-day entries, row counts, first/last timestamps, source index keys/hashes, and backup timestamps.","Used by station/timeseries history readers and targeted index maintenance to determine which observation and AQI history exists for one timeseries. Integrity must compare and merge this object from the verified overlay or Dropbox backup, not reconstruct it from live R2."
history/_index_v2/backup_inventory_v2.json,"R2-side inventory for the v2 Dropbox backup. Records the selected v2 domain day units, latest index files, index-tree units, committed connector manifests, run manifests, hashes, sizes, and summary counts.","The Dropbox sync reads this as the source of truth for which R2 objects must be copied. It must include the observations_timeseries, aqilevels_hourly_data_timeseries, and timeseries metadata trees."
history/v2/_ops/,"Optional operational/audit objects for v2 history jobs, if present. May contain run manifests, staging, or checkpoint-like artefacts depending on the exporter/backfill workflow.",Useful for audit and debugging. Not normally the public committed history path used by API readers.
history/v2/_ops/observations/runs/,"Operational run manifests for v2 observation export/backfill runs, if present.",Audit trail for export/backfill activity; not the main data-read path.
history/v2/_ops/aqilevels/hourly/data/runs/,"Operational run manifests for v2 hourly AQI export/backfill runs, if present.",Audit trail for AQI rebuild/export activity; not the main data-read path.
Dropbox _ops/checkpoints/r2_history_backup_state_v2.json,"Local Dropbox backup checkpoint state for v2 history. Tracks copied manifest hashes/keys for domain day units, latest index files, index-tree units, committed connector manifests, and run manifests.","Used by the local backup/sync scripts to avoid unnecessary re-copying. Once the v2 metadata tree is added to the inventory, this checkpoint also tracks copied history/_index_v2/timeseries objects. This file is not part of the live R2 history namespace."
Local Dropbox R2 backup root,"Local mirror of the live R2 objects selected by backup_inventory_v2.json, for example /Users/mikehinford/Dropbox/Apps/github-uk-air-quality-networks/CIC-Test/R2_history_backup.","Used as the normal Integrity comparison and repair-planning base, and for local diagnostics. It should include the v2 data trees, latest indexes, observations_timeseries, aqilevels_hourly_data_timeseries, and the timeseries metadata tree. Results are valid only when the backup readiness evidence is current."
